"actor_movie_id","actor_id","movie_id"
"355","2425","3869"
"356","2430","5353"
"357","2441","5387"
"358","2441","10703"
"359","2442","5393"
"360","2443","1512"
"361","2447","5402"
"362","2449","638"
"363","2466","5278"
"364","2476","3520"
"365","2477","11634"
"366","2497","5528"
"367","2507","232"
"368","2510","5571"
"369","2516","1907"
"370","2516","5584"
"371","2517","7241"
"372","2527","2365"
"373","2539","5628"
"374","2541","5632"
"375","2541","1747"
"376","2554","10528"
"377","2567","11859"
"378","2567","4866"
"379","2568","8159"
"380","2568","5237"
"381","2569","5678"
"382","2569","4095"
"383","2571","5686"
"384","2583","12126"
"385","2584","4506"
"386","2594","2337"
"387","2596","5755"
"388","2598","8174"
"389","2600","9279"
"390","2615","8863"
"391","2622","11"
"392","2643","605"
"393","2651","5927"
"394","2679","12107"
"395","2693","7544"
"396","2712","6053"
"397","2719","1512"
"398","2723","1765"
"399","2726","6086"
"400","2729","2959"
"401","2729","1887"
"402","2737","6104"
"403","2751","6118"
"404","2751","6117"
"405","2760","5578"
"406","2760","2170"
"407","2766","9128"
"408","2781","1452"
"409","2785","87"
"410","2807","6429"
"411","2823","531"
"412","2862","6426"
"413","2867","6428"
"414","2873","1212"
"415","2889","416"
"416","2912","4585"
"417","2915","2652"
"418","2920","6511"
"419","2921","258"
"420","2931","6531"
"421","2944","730"
"422","2951","7095"
"423","2951","9537"
"424","2952","1088"
"425","2955","6701"
"426","2955","8863"
"427","2962","6597"
"428","2995","7101"
"429","3000","2723"
"430","3006","6689"
"431","3007","9949"
"432","3023","2400"
"433","3031","2427"
"434","3041","2706"
"435","3079","6893"
"436","3087","6035"
"437","3094","6933"
"438","3096","9549"
"439","3097","10534"
"440","3117","1870"
"441","3117","1869"
"442","3119","257"
"443","3119","2642"
"444","3138","7078"
"445","3144","7094"
"446","3152","3438"
"447","3163","7858"
"448","3163","7856"
"449","3178","4334"
"450","3187","8871"
"451","3190","6852"
"452","3207","6331"
"453","3207","3479"
"454","3207","4334"
"455","3218","9343"
"456","3218","179"
"457","3264","934"
"458","3268","7392"
"459","3273","9827"
"460","3273","9049"
